Year,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
2025,15604958,Dupont,736,Germany,Female,44,3,123548.71,2,1,1,78222.38,1
2025,15607093,Wagner,496,France,Female,54,6,0.0,2,1,0,37216.35,0
2025,15603035,Perez,683,Spain,Male,48,10,89101.98,2,1,0,81998.96,0
2025,15606293,Rodriguez,646,France,Female,49,1,0.0,1,0,0,37802.63,0
2025,15606488,Gomez,728,France,Female,48,1,103343.84,1,1,0,121877.14,0
2025,15601185,Dupont,731,Germany,Male,28,9,127422.88,1,0,1,163156.15,0
2025,15600516,Braun,668,Germany,Male,27,4,142960.7,1,1,1,34009.99,0
2025,15604749,Perez,800,France,Male,36,3,76272.85,1,1,1,64495.74,0
2025,15601062,Schwarz,703,Spain,Male,42,1,82516.53,1,1,1,25100.22,0
2025,15602919,Muller,645,France,Female,25,7,195026.31,2,0,1,104582.99,0
2025,15601400,Braun,666,Germany,Female,21,0,75410.76,2,1,0,56402.99,0
2025,15608487,Zimmermann,594,Germany,Female,40,8,135134.24,1,1,1,19672.25,1
2025,15608310,Petit,616,France,Female,45,8,96356.31,2,1,1,60302.65,1
2025,15603002,Schneider,777,France,Female,32,0,163051.4,1,1,1,66686.62,0
2025,15605002,Romero,533,Spain,Female,35,7,0.0,2,0,1,183490.73,1
2025,15603205,Lopez,685,France,Female,35,2,145253.91,1,0,0,93477.77,1
2025,15605880,Becker,638,France,Male,33,4,0.0,1,0,0,40459.38,0
2025,15607142,Richter,732,Spain,Male,47,7,103103.0,2,0,1,185476.64,0
2025,15605857,Dominguez,567,France,Male,40,5,92476.42,2,1,0,75006.79,0
2025,15606401,Hill,487,France,Female,40,3,107073.09,1,1,1,143181.6,0
2025,15604172,Wagner,588,France,Male,44,8,59416.39,1,0,0,38257.96,1
2025,15602059,Fischer,742,France,Male,34,9,0.0,2,1,0,143030.18,0
2025,15605616,Michel,511,France,Male,37,4,0.0,1,0,0,56924.04,0
2025,15606296,Leroy,648,France,Female,31,7,0.0,2,1,1,103344.41,0
2025,15608168,Garcia,468,France,Female,32,5,0.0,2,0,0,124895.62,0
2025,15606602,Gomez,689,France,Female,35,9,0.0,2,0,0,46182.38,0
2025,15605069,Dupont,564,France,Male,52,3,120415.2,1,0,0,154277.48,0
2025,15600526,Romero,692,Spain,Female,34,1,0.0,2,0,0,41717.67,0
2025,15600143,Bernard,442,France,Male,65,3,144971.34,1,1,0,194592.3,1
2025,15609709,Neumann,588,France,Male,43,2,0.0,2,1,1,186439.19,0
2025,15604343,Schröder,628,Germany,Male,45,4,102212.55,1,1,1,38146.5,1
2025,15600709,Dubois,631,France,Male,33,3,89337.46,1,1,0,80130.93,1
2025,15600477,Sanchez,585,Germany,Female,32,0,116659.51,1,0,1,58637.57,1
2025,15606080,Schmidt,640,Germany,Male,46,10,111929.19,2,1,0,51921.42,1
2025,15602966,Schneider,636,France,Female,28,7,0.0,1,1,0,45883.39,0
2025,15605471,Leroy,681,Germany,Female,44,6,112259.66,1,1,1,132572.56,1
2025,15603015,Zimmermann,592,France,Male,43,6,0.0,2,0,0,18310.61,0
2025,15606742,Smith,653,France,Male,23,0,73635.14,1,0,1,144416.59,0
2025,15606231,Richter,683,Spain,Male,30,7,0.0,1,1,0,33384.35,0
2025,15607457,Schmidt,726,Germany,Female,31,0,125398.59,1,1,0,52918.03,0
2025,15608858,Dominguez,639,Germany,Male,48,1,99365.21,1,0,1,24495.09,1
2025,15603327,Gutierrez,754,Spain,Male,30,2,0.0,1,1,1,179692.33,0
2025,15606975,Martin,773,France,Female,31,4,106641.54,1,0,1,134612.28,0
2025,15600640,Dominguez,613,France,Male,57,1,100481.77,2,1,1,199006.62,0
2025,15601161,Dominguez,392,France,Male,42,9,78452.87,2,1,1,104449.44,0
2025,15606378,Braun,801,Germany,Female,53,8,143726.8,2,1,0,143587.73,1
2025,15606245,Hargrave,579,France,Male,47,2,140202.25,2,0,0,65992.48,0
2025,15608493,Meyer,683,France,Male,44,2,0.0,1,0,1,143266.34,0
2025,15600959,Chidiebere,668,France,Male,42,2,0.0,1,1,0,38446.27,0
2025,15606383,Dubois,696,Germany,Male,35,5,149336.64,1,1,1,31140.67,1
2025,15604447,Mitchell,702,Germany,Female,47,6,93423.92,2,0,0,105355.76,1
2025,15603640,Wagner,471,Spain,Female,47,2,128610.69,1,1,1,166275.94,0
2025,15600281,Chidiebere,596,Spain,Male,52,6,0.0,2,1,1,30596.17,0
2025,15606944,Alvarez,616,France,Female,37,9,0.0,2,1,1,186548.36,0
2025,15609318,Smith,493,Spain,Male,31,0,0.0,1,1,0,152819.09,0
2025,15604423,Schröder,610,France,Male,18,10,0.0,1,0,1,163423.92,0
2025,15607983,Torres,706,France,Male,40,10,0.0,2,1,0,178036.39,0
2025,15601243,Thomas,763,Spain,Female,36,9,138963.59,2,1,1,172630.99,0
2025,15603535,Dominguez,613,France,Male,18,9,55164.44,1,0,1,175386.92,0
2025,15603422,Muller,689,France,Male,46,1,0.0,1,1,1,156668.7,0
2025,15604909,Bauer,445,Spain,Male,47,1,76822.91,1,1,0,139311.11,0
2025,15609247,Neumann,657,Spain,Male,27,8,0.0,2,0,1,195712.01,0
2025,15606656,Rodriguez,754,Germany,Male,41,6,131490.72,1,1,1,83762.37,1
2025,15604025,Muller,476,France,Male,34,1,0.0,2,0,0,155961.16,0
2025,15606289,Alvarez,597,France,Female,34,7,0.0,1,1,0,37647.62,0
2025,15607896,Mitchell,812,Spain,Male,46,6,115496.7,1,0,1,57893.54,0
2025,15604443,Thomas,715,France,Female,33,6,162712.3,2,1,0,27563.84,0
2025,15603859,Munoz,723,Spain,Female,62,7,0.0,2,1,0,77391.55,0
2025,15604933,Dominguez,700,Spain,Male,34,10,141783.35,2,0,0,149294.06,1
2025,15605034,Schäfer,763,Spain,Male,31,10,0.0,2,1,1,168177.06,0
2025,15602745,Hoffmann,807,Germany,Male,55,3,131086.95,1,1,1,81735.75,1
2025,15600361,Moreau,826,Spain,Male,40,0,0.0,1,0,1,104834.83,0
2025,15609529,Weber,537,France,Female,35,5,0.0,1,1,1,123029.44,0
2025,15607871,Torres,592,France,Male,25,9,123283.61,1,0,1,13121.03,0
2025,15607294,Schmidt,625,France,Male,43,7,102918.29,2,1,0,50255.51,0
2025,15609474,Torres,735,France,Male,35,7,0.0,2,1,0,11444.98,0
2025,15607005,Michel,605,Germany,Female,31,6,118452.32,2,1,1,160196.92,0
2025,15609804,Schwarz,642,Spain,Male,25,6,0.0,3,1,0,167424.48,0
2025,15605444,Wagner,850,France,Male,45,5,106934.04,1,1,0,105808.84,0
2025,15600169,Schneider,642,Spain,Male,52,5,0.0,1,1,0,122724.76,1
2025,15600082,Krüger,532,Spain,Female,50,2,69713.61,1,1,1,46827.49,0
2025,15609696,Torres,525,Spain,Male,35,10,0.0,3,0,1,186167.81,1
2025,15600572,Thomas,850,France,Male,49,5,132496.77,1,1,0,88611.57,0
2025,15604908,Chidiebere,755,France,Female,29,7,112133.14,1,1,0,15975.59,0
2025,15603914,Romero,662,France,Male,32,4,104081.96,1,1,1,107231.5,0
2025,15606190,Gutierrez,618,France,Female,45,2,0.0,1,0,1,114784.45,0
2025,15607035,Wolf,715,France,Male,35,3,131600.29,1,1,0,69201.17,0
2025,15608076,Klein,599,France,Female,32,5,94143.42,2,1,0,81052.49,0
2025,15607960,He,721,France,Male,36,6,0.0,2,1,0,76928.13,1
2025,15609472,Leroy,678,Spain,Female,46,3,67792.54,1,1,1,72485.18,0
2025,15609871,Moreno,771,Spain,Male,28,8,0.0,2,0,0,163411.03,0
2025,15600383,Meyer,736,Germany,Female,41,0,101230.86,2,1,0,90035.08,1
2025,15604179,Petit,652,Germany,Male,41,0,82890.17,3,0,1,169912.14,1
2025,15607591,Braun,501,Spain,Female,36,1,99518.16,1,1,1,75706.65,1
2025,15602464,Diaz,567,France,Female,67,7,127430.18,1,1,1,19088.51,1
2025,15608999,Schmidt,640,Spain,Male,37,1,0.0,2,1,0,198017.36,0
2025,15607783,Bartlett,582,France,Male,58,1,0.0,2,0,1,142746.32,0
2025,15603206,Schäfer,800,France,Female,47,6,147163.84,2,1,1,100806.1,0
2025,15603452,Gomez,661,France,Male,47,4,69900.84,1,1,0,142043.36,1
2025,15600418,Wolf,796,France,Female,42,3,0.0,1,0,0,107646.19,0
2025,15602071,Hernandez,824,Germany,Male,41,2,108069.08,1,1,0,174893.17,1
2025,15604037,Fischer,692,France,Female,46,9,153030.53,2,1,0,45535.66,1
2025,15604145,Zimmermann,808,France,Female,42,6,0.0,1,1,1,93854.71,0
2025,15604630,Bartlett,632,Germany,Male,31,6,131509.56,1,1,0,108537.51,1
2025,15607165,Bartlett,656,Germany,Male,42,0,99868.29,2,1,0,142907.33,1
2025,15609961,Schneider,618,France,Male,44,3,0.0,1,1,0,64715.94,1
2025,15605123,Leroy,598,Germany,Male,30,3,123481.11,1,1,1,73109.51,0
2025,15600574,Hill,850,Germany,Female,42,1,144115.03,1,1,1,10191.23,1
2025,15608120,Bauer,793,France,Male,18,3,66231.81,1,1,1,67874.43,0
2025,15602668,Hoffmann,513,France,Female,34,4,0.0,1,1,0,179360.76,0
2025,15606671,Richter,647,France,Male,36,6,99570.32,1,1,0,194925.21,0
2025,15605018,Muller,605,France,Male,21,10,40497.23,2,1,0,110112.31,0
2025,15608737,Romero,382,Spain,Female,55,4,0.0,2,1,0,33362.64,0
2025,15601534,Romero,503,France,Male,39,7,81352.47,2,1,1,22277.13,0
2025,15603317,Schäfer,638,France,Female,36,4,0.0,1,0,1,36166.57,0
2025,15608068,Schröder,632,Germany,Male,41,4,130324.66,1,0,1,184469.37,1
2025,15608228,Mitchell,702,France,Female,25,6,0.0,2,0,0,123437.37,0
2025,15607475,Becker,521,Germany,Female,31,3,119725.97,1,1,1,186152.54,0
2025,15606285,Leroy,750,France,Male,33,7,117384.09,1,1,1,77296.83,0
2025,15602738,Weber,813,France,Male,41,1,87745.66,1,1,1,113221.21,0
2025,15605114,Jimenez,596,France,Male,49,7,147072.64,2,1,1,20391.62,0
2025,15604238,Schmidt,622,France,Female,50,5,143530.95,2,0,0,108090.17,0
2025,15601890,Wolf,738,France,Male,35,10,0.0,3,1,1,140677.19,1
2025,15604108,Hargrave,607,France,Male,31,1,0.0,2,1,1,33144.17,0
2025,15608665,Leroy,641,Spain,Male,20,10,0.0,2,1,1,14115.0,0
2025,15605833,Martinez,598,France,Male,27,4,0.0,1,1,1,62284.46,0
2025,15604750,Schmidt,618,France,Male,44,1,132922.32,1,1,0,179711.98,0
2025,15605865,Chu,778,Spain,Female,55,7,0.0,3,1,0,105609.07,1
2025,15607620,Zimmermann,600,France,Female,30,9,0.0,2,0,1,154895.44,0
2025,15601394,Schneider,404,France,Male,41,9,38812.54,2,1,1,71574.56,0
2025,15609723,Romero,548,Germany,Male,41,2,122775.42,1,1,1,139071.23,1
2025,15603285,Garcia,642,Spain,Male,31,2,39680.66,2,1,1,17109.47,0
2025,15602401,Schulz,823,Spain,Male,51,5,0.0,1,1,0,115728.96,0
2025,15607924,Klein,466,France,Female,40,8,129843.98,1,1,0,137045.07,1
2025,15603528,Dubois,548,Spain,Female,46,1,0.0,2,0,0,110349.36,0
2025,15607098,Laurent,570,Germany,Male,50,8,152594.11,1,1,0,118138.96,1
2025,15601430,Schwarz,512,France,Female,40,5,0.0,2,1,0,84181.02,0
2025,15603574,Richard,780,Spain,Female,20,9,78737.16,1,1,0,31066.15,0
2025,15607064,Sanchez,593,Germany,Female,42,0,144089.26,2,0,0,176871.33,1
2025,15607225,Chidiebere,743,Spain,Male,23,0,0.0,1,1,0,186579.08,0
2025,15608105,Richter,533,Spain,Female,41,8,0.0,1,1,0,176525.46,0
2025,15606346,Obinna,657,France,Male,43,6,155195.22,2,1,1,155479.49,0
2025,15608245,Becker,686,Germany,Male,42,9,148472.62,1,1,1,54086.35,1
2025,15600955,Garcia,640,France,Male,43,0,69436.58,1,0,0,24556.22,1
2025,15607544,Leroy,487,France,Female,25,4,0.0,1,1,0,24511.8,0
2025,15607224,Laurent,516,France,Male,57,3,0.0,1,1,0,175104.48,0
2025,15608503,Perez,721,France,Male,44,6,89558.61,1,1,0,53801.83,0
2025,15603399,Laurent,596,France,Male,39,3,100807.58,2,1,1,104792.42,0
2025,15604538,Gomez,683,Germany,Female,38,9,115336.89,1,1,1,82072.13,0
2025,15606606,Braun,663,France,Female,29,0,101647.75,2,1,0,59881.22,0
2025,15606876,Lefebvre,699,Spain,Female,29,6,162689.04,2,1,0,187169.81,0
2025,15606090,Braun,580,France,Male,27,2,92381.97,1,0,1,182465.39,0
2025,15606461,Gomez,565,France,Female,36,6,0.0,1,1,1,134075.91,0
2025,15603341,Hill,617,France,Male,46,2,0.0,1,1,1,78157.49,0
2025,15606711,Lefebvre,831,France,Male,49,8,0.0,1,1,0,62467.43,0
2025,15604927,Bernard,747,France,Female,27,3,0.0,1,1,0,120179.24,1
2025,15600871,Garcia,646,France,Male,46,10,135521.96,1,1,1,106318.21,0
2025,15600004,Chidiebere,552,France,Female,25,6,0.0,1,1,1,125323.68,0
2025,15603305,Weber,780,Spain,Female,47,0,0.0,1,0,0,14851.7,0
2025,15601142,Diaz,621,Germany,Male,25,5,117681.65,2,1,0,134841.27,0
2025,15603360,Smith,775,Spain,Male,38,9,105615.51,1,0,0,125349.38,0
2025,15609679,Schwarz,530,France,Female,43,3,0.0,2,0,1,69815.11,0
2025,15607254,Martinez,581,France,Male,35,8,117648.61,2,1,0,95303.92,0
2025,15600007,Bernard,772,Spain,Female,30,10,0.0,1,1,1,25486.13,0
2025,15608813,Thomas,679,Germany,Male,18,7,134980.92,1,1,0,151142.26,1
2025,15607926,Mitchell,655,Spain,Female,40,8,121814.67,2,0,1,86440.33,0
2025,15606033,Jimenez,754,France,Male,30,9,0.0,2,1,0,190484.62,0
2025,15607918,Hoffmann,657,Germany,Female,22,2,113102.05,2,1,1,11478.91,0
2025,15609311,Schäfer,523,France,Female,24,1,0.0,1,1,0,109786.79,0
2025,15602971,Wagner,643,France,Female,40,0,23384.43,2,0,1,108635.64,0
2025,15604760,Diaz,707,France,Female,44,7,0.0,1,0,1,125172.33,1
2025,15606574,Garcia,699,Germany,Female,58,2,183939.53,2,1,0,11266.37,1
2025,15609332,Boni,686,France,Female,49,7,98128.19,2,1,1,144201.22,0
2025,15601553,Schulz,695,Spain,Male,41,4,134331.08,1,0,0,72151.99,0
2025,15604881,Gomez,710,France,Male,36,5,97880.27,1,1,0,109046.39,0
2025,15609108,Mitchell,653,Spain,Male,52,3,108076.53,2,0,1,47728.86,0
2025,15609454,Schwarz,705,Spain,Male,42,8,110262.4,2,1,0,126541.86,0
2025,15608069,Martinez,616,Germany,Male,33,4,152958.67,2,1,0,123590.0,0
2025,15601284,Jimenez,484,France,Female,51,4,0.0,1,1,1,43476.94,0
2025,15609277,Garcia,540,France,Female,53,7,162156.81,2,1,1,50870.17,0
2025,15607536,Weber,644,France,Male,48,6,85746.16,1,1,1,130890.58,1
2025,15603736,Hoffmann,684,France,Male,42,10,0.0,3,1,1,112555.79,0
2025,15605407,Onio,707,Spain,Female,32,8,0.0,1,1,0,197191.29,0
2025,15604860,Schneider,445,Spain,Female,46,5,0.0,2,1,1,170641.57,0
2025,15600389,Zimmermann,449,France,Female,32,4,0.0,2,1,1,152483.92,0
2025,15602394,Torres,655,Germany,Female,38,1,95813.01,1,1,0,149201.38,1
2025,15602518,Krüger,635,Germany,Female,20,3,149027.32,2,1,0,67409.26,0
2025,15606585,Dupont,483,France,Male,30,1,0.0,1,1,1,143547.1,0
2025,15601472,Torres,664,France,Male,30,8,130944.84,1,1,1,156529.1,0
2025,15601001,Richter,563,Germany,Male,55,1,134915.89,2,1,1,36852.81,1
2025,15602734,Bauer,683,Germany,Male,39,7,109227.28,1,1,1,38616.28,0
2025,15609877,Weber,681,Spain,Female,51,7,90386.61,1,0,1,173144.05,0
2025,15609001,Smith,779,Spain,Female,43,0,0.0,2,1,1,194664.09,0
2025,15600913,Wagner,674,France,Male,33,8,0.0,1,1,0,146789.17,0
2025,15605466,Perez,642,Germany,Male,28,2,151330.53,1,1,0,190879.12,0
2025,15607384,Lopez,573,France,Female,54,2,0.0,2,1,1,44052.9,0
2025,15602598,Hargrave,609,France,Female,26,5,0.0,2,1,1,130905.27,0
2025,15607637,Romero,622,Germany,Male,58,6,97478.95,2,1,1,112793.23,1
2025,15609150,Chidiebere,608,Germany,Female,40,9,138238.78,1,0,0,155550.33,1
2025,15607124,Gomez,492,Spain,Male,23,3,0.0,2,0,1,162637.23,0
2025,15601360,Petit,850,France,Female,51,2,61919.9,1,1,1,116427.58,0
2025,15609468,Dominguez,703,Germany,Female,43,1,97346.01,2,0,0,189643.09,1
2025,15608195,Thomas,480,Spain,Male,40,10,0.0,2,1,1,174566.3,0
2025,15602781,Romero,350,Germany,Female,25,3,105704.2,2,1,1,109940.49,1
2025,15602328,Hernandez,691,France,Male,49,0,89119.0,1,1,1,18344.3,0
2025,15601672,Lopez,628,France,Female,37,7,82603.63,1,0,0,163411.83,1
2025,15607304,Boni,567,Germany,Male,37,2,101612.53,1,0,1,94241.82,0
2025,15600835,Diaz,713,France,Male,38,9,84060.56,2,0,1,197391.35,0
2025,15609208,Gutierrez,775,Germany,Male,22,10,152646.58,1,1,0,38027.65,0
2025,15604684,Durand,686,France,Female,50,2,155565.33,1,1,1,98587.93,0
2025,15609475,Muller,458,Germany,Male,42,1,128510.11,1,1,0,155677.29,1
2025,15601728,Lefebvre,816,Germany,Male,21,4,142312.5,2,1,0,35219.61,0
2025,15606510,Martin,532,France,Female,35,3,0.0,1,0,1,93523.68,0
2025,15608799,Alonso,713,Germany,Female,31,10,94058.48,2,1,0,121192.37,0
2025,15602678,Laurent,561,Spain,Female,26,4,0.0,2,1,0,160916.06,0
2025,15609613,Laurent,697,France,Male,39,10,71197.55,1,1,0,181242.23,0
2025,15601621,Schmidt,667,Germany,Male,49,5,121297.16,1,0,1,78020.86,1
2025,15606219,Krüger,689,France,Female,28,9,105266.79,1,0,0,101685.94,0
2025,15601915,Chu,541,Spain,Male,40,8,0.0,1,1,0,122684.45,0
2025,15600343,Petit,443,Spain,Male,63,3,91854.28,2,1,0,159828.19,1
2025,15600388,Muller,684,France,Male,27,2,0.0,2,1,1,68430.08,0
2025,15604273,Laurent,720,France,Male,49,5,0.0,1,1,0,84868.99,1
2025,15604878,Bauer,605,Germany,Male,21,1,99616.85,2,1,1,63806.97,0
2025,15602303,Wagner,705,Germany,Male,29,9,156618.39,1,0,1,54679.94,0
2025,15607883,Schröder,652,Spain,Male,18,10,0.0,1,1,1,27641.57,0
2025,15600227,Leroy,514,France,Female,51,0,0.0,2,1,1,108296.23,0
2025,15601252,Smith,595,France,Male,30,0,0.0,1,1,0,12201.85,0
2025,15606485,Fischer,508,France,Female,46,1,122383.29,1,1,1,111654.59,0
2025,15608496,Durand,550,Spain,Male,27,2,0.0,2,0,1,107830.29,0
2025,15607716,Schäfer,747,France,Male,59,7,0.0,2,1,1,74117.73,0
2025,15605631,Boni,698,Germany,Female,37,5,124174.93,1,1,1,149061.82,0
2025,15604620,Schneider,779,France,Female,48,10,0.0,2,1,1,127275.81,0
2025,15609671,Zimmermann,638,Germany,Female,41,9,162316.29,2,1,0,24965.32,1
2025,15600405,Ruiz,630,France,Female,46,10,101723.98,1,0,0,160792.51,0
2025,15604624,Ruiz,690,Germany,Male,23,0,95678.68,2,1,0,157878.71,0
2025,15603186,Chu,728,Germany,Male,35,6,98041.41,1,0,0,62206.05,0
2025,15604362,Diaz,633,France,Female,31,9,0.0,2,0,0,130606.81,0
2025,15602602,Dominguez,603,France,Male,46,7,0.0,2,1,0,42302.55,0
2025,15606496,Fischer,784,France,Male,35,8,160370.47,2,1,0,95784.84,0
2025,15605879,Robert,730,Germany,Female,32,0,145503.35,2,1,0,198039.25,0
2025,15604877,Braun,676,France,Male,35,3,0.0,1,1,0,155706.18,0
2025,15604283,Fischer,692,Germany,Female,60,4,107611.64,1,0,0,154733.1,1
2025,15602074,Braun,733,Germany,Female,24,4,148548.31,2,1,0,43749.06,0
2025,15608789,Braun,569,Spain,Male,25,1,0.0,2,0,1,130919.21,0
2025,15601495,Dubois,760,Germany,Male,45,6,144951.51,1,1,1,27283.62,1
2025,15607909,Dominguez,621,Germany,Male,42,5,105255.02,2,1,1,145430.58,1
2025,15604122,Bernard,679,France,Male,50,3,85568.35,1,1,0,162700.52,0
2025,15606084,Richard,675,France,Male,54,10,134712.03,2,0,0,23369.47,0
2025,15600063,Sanchez,622,Spain,Male,24,8,49192.93,1,0,0,147778.6,1
